"town","tests_total","tests_pos","dt","tests_posn"
"Webster",1249,"21",2020-10-07,21
"Wellesley",13048,"10",2020-10-07,10
"Wellfleet",108,"0",2020-10-07,0
"Wendell",73,"0",2020-10-07,0
"Wenham",405,"<5",2020-10-07,2
"West Boylston",524,"<5",2020-10-07,2
"West Bridgewater",563,"<5",2020-10-07,2
"West Brookfield",213,"0",2020-10-07,0
"West Newbury",308,"<5",2020-10-07,2
"West Springfield",1689,"16",2020-10-07,16
"West Stockbridge",87,"0",2020-10-07,0
"West Tisbury",182,"<5",2020-10-07,2
"Westborough",1536,"9",2020-10-07,9
"Westfield",2384,"21",2020-10-07,21
"Westford",1462,"14",2020-10-07,14
"Westhampton",40,"0",2020-10-07,0
"Westminster",383,"<5",2020-10-07,2
"Weston",1243,"<5",2020-10-07,2
"Westport",709,"7",2020-10-07,7
"Westwood",1250,"9",2020-10-07,9
"Weymouth",3078,"45",2020-10-07,45
"Whately",86,"<5",2020-10-07,2
"Whitman",788,"5",2020-10-07,5
"Wilbraham",2400,"11",2020-10-07,11
"Williamsburg",237,"0",2020-10-07,0
"Williamstown",5002,"<5",2020-10-07,2
"Wilmington",1476,"14",2020-10-07,14
"Winchendon",405,"<5",2020-10-07,2
"Winchester",2102,"8",2020-10-07,8
"Windsor",27,"<5",2020-10-07,2
"Winthrop",2497,"22",2020-10-07,22
"Woburn",3008,"53",2020-10-07,53
"Worcester",36795,"269",2020-10-07,269
"Worthington",66,"<5",2020-10-07,2
"Wrentham",828,"5",2020-10-07,5
"Yarmouth",964,"8",2020-10-07,8
"Unknown",11161,"27",2020-10-07,27
"State",817884,"7166",2020-10-07,7166
