"town","tests_total","tests_pos","dt","tests_posn"
"Scituate",1642,"51",2020-12-10,51
"Seekonk",1079,"171",2020-12-10,171
"Sharon",1857,"55",2020-12-10,55
"Sheffield",396,"7",2020-12-10,7
"Shelburne",252,"4",2020-12-10,4
"Sherborn",552,"16",2020-12-10,16
"Shirley",545,"68",2020-12-10,68
"Shrewsbury",4228,"228",2020-12-10,228
"Shutesbury",176,"6",2020-12-10,6
"Somerset",1782,"176",2020-12-10,176
"Somerville",32016,"427",2020-12-10,427
"South Hadley",2119,"66",2020-12-10,66
"Southampton",580,"32",2020-12-10,32
"Southborough",1398,"55",2020-12-10,55
"Southbridge",1770,"215",2020-12-10,215
"Southwick",787,"53",2020-12-10,53
"Spencer",1123,"83",2020-12-10,83
"Springfield",19175,"2087",2020-12-10,2087
"Sterling",946,"70",2020-12-10,70
"Stockbridge",294,"4",2020-12-10,4
"Stoneham",3299,"197",2020-12-10,197
"Stoughton",2747,"177",2020-12-10,177
"Stow",733,"23",2020-12-10,23
"Sturbridge",788,"50",2020-12-10,50
"Sudbury",2223,"37",2020-12-10,37
"Sunderland",790,"16",2020-12-10,16
"Sutton",966,"92",2020-12-10,92
"Swampscott",2821,"103",2020-12-10,103
"Swansea",1633,"206",2020-12-10,206
"Taunton",6108,"470",2020-12-10,470
"Templeton",826,"28",2020-12-10,28
"Tewksbury",4817,"343",2020-12-10,343
"Tisbury",853,"25",2020-12-10,25
"Tolland",16,"0",2020-12-10,0
"Topsfield",1015,"40",2020-12-10,40
"Townsend",706,"38",2020-12-10,38
"Truro",105,"2",2020-12-10,2
"Tyngsborough",1247,"169",2020-12-10,169
"Tyringham",12,"0",2020-12-10,0
"Upton",662,"35",2020-12-10,35
"Uxbridge",1182,"71",2020-12-10,71
"Wakefield",3639,"208",2020-12-10,208
"Wales",108,"14",2020-12-10,14
"Walpole",2677,"147",2020-12-10,147
"Waltham",10509,"340",2020-12-10,340
"Ware",906,"32",2020-12-10,32
"Wareham",1655,"128",2020-12-10,128
"Warren",314,"8",2020-12-10,8
"Warwick",47,"0",2020-12-10,0
"Washington",27,"1",2020-12-10,1
"Watertown",5797,"212",2020-12-10,212
"Wayland",1999,"46",2020-12-10,46
"Webster",1914,"112",2020-12-10,112
"Wellesley",9240,"91",2020-12-10,91
"Wellfleet",175,"6",2020-12-10,6
"Wendell",53,"3",2020-12-10,3
"Wenham",613,"20",2020-12-10,20
"West Boylston",903,"54",2020-12-10,54
"West Bridgewater",1020,"72",2020-12-10,72
"West Brookfield",423,"18",2020-12-10,18
